"ensembl_peptide_id_version"	"external_gene_name"
"339"	"ENSXETP00000049105.3"	"slc35g2"
"340"	"ENSXETP00000059740.1"	"AFG1L"
"341"	"ENSXETP00000030765.2"	"cxxc4"
"342"	"ENSXETP00000061689.1"	"anapc1"
"343"	"ENSXETP00000001735.2"	"anapc1"
"344"	"ENSXETP00000061996.1"	"nsf"
"345"	"ENSXETP00000061773.1"	"nsf"
"346"	"ENSXETP00000031538.3"	"stag1"
"347"	"ENSXETP00000060363.1"	""
"348"	"ENSXETP00000021504.3"	""
"349"	"ENSXETP00000046112.2"	"tacr3"
"350"	"ENSXETP00000021330.3"	"ralgapa2"
"351"	"ENSXETP00000053585.2"	"tma7"
"352"	"ENSXETP00000058324.1"	"ETFBKMT"
"353"	"ENSXETP00000046113.2"	"cenpe"
"354"	"ENSXETP00000025507.2"	"cenpe"
"355"	"ENSXETP00000036780.3"	"larp4b"
"356"	"ENSXETP00000036781.3"	"larp4b"
"357"	"ENSXETP00000005778.3"	"dennd5b"
"358"	"ENSXETP00000005774.3"	"dennd5b"
"359"	"ENSXETP00000032495.3"	"foxo3"
"360"	"ENSXETP00000003464.3"	"itfg2"
"361"	"ENSXETP00000059316.1"	""
"362"	"ENSXETP00000000876.3"	""
"363"	"ENSXETP00000046760.2"	"get4"
"364"	"ENSXETP00000057417.3"	"rfx5"
"365"	"ENSXETP00000062557.1"	"rfx5"
"366"	"ENSXETP00000041186.2"	"gtf2h1"
"367"	"ENSXETP00000051658.3"	""
"368"	"ENSXETP00000051712.3"	""
"369"	"ENSXETP00000059951.1"	""
"370"	"ENSXETP00000059773.1"	""
"371"	"ENSXETP00000024141.3"	"mtmr11"
"372"	"ENSXETP00000060193.1"	"LGR5"
"373"	"ENSXETP00000056668.3"	"ccdc82"
"374"	"ENSXETP00000015401.3"	"ccdc82"
"375"	"ENSXETP00000036245.3"	""
"376"	"ENSXETP00000018274.2"	"cln3"
"377"	"ENSXETP00000059830.1"	"cln3"
"378"	"ENSXETP00000062897.1"	"cln3"
"379"	"ENSXETP00000038448.3"	"XB-GENE-5960520"
"380"	"ENSXETP00000011460.3"	"XB-GENE-5960520"
"381"	"ENSXETP00000032932.3"	""
"382"	"ENSXETP00000061390.1"	""
"383"	"ENSXETP00000019149.3"	"cib3"
"384"	"ENSXETP00000060910.1"	"cib3"
"385"	"ENSXETP00000046114.3"	"bdh2"
"386"	"ENSXETP00000059096.1"	"sf3b4"
"387"	"ENSXETP00000024144.2"	"sf3b4"
"388"	"ENSXETP00000046766.3"	"sun1"
"389"	"ENSXETP00000015403.3"	"maml2"
"390"	"ENSXETP00000011841.3"	"rngtt"
"391"	"ENSXETP00000018277.3"	"spns1"
"392"	"ENSXETP00000063120.1"	""
"393"	"ENSXETP00000060184.1"	""
"394"	"ENSXETP00000025644.2"	""
"395"	"ENSXETP00000063493.1"	"cwc15"
"396"	"ENSXETP00000015404.3"	"cwc15"
"397"	"ENSXETP00000018922.3"	"OTOL1"
"398"	"ENSXETP00000046115.3"	"slc9b2"
"399"	"ENSXETP00000061746.1"	""
"400"	"ENSXETP00000018402.3"	"DIP2C"
"401"	"ENSXETP00000062538.1"	"DIP2C"
"402"	"ENSXETP00000041946.3"	"DIP2C"
"403"	"ENSXETP00000046799.3"	"mbnl1"
"404"	"ENSXETP00000019124.3"	"sptssb"
"405"	"ENSXETP00000049287.1"	"ecel1"
"406"	"ENSXETP00000011466.3"	"fam167b"
"407"	"ENSXETP00000063612.1"	"fam32a"
"408"	"ENSXETP00000005767.3"	"fam60a"
"409"	"ENSXETP00000057710.1"	"nmd3"
"410"	"ENSXETP00000011470.2"	"lck"
"411"	"ENSXETP00000029459.2"	"rsg1"
"412"	"ENSXETP00000005803.3"	""
"413"	"ENSXETP00000005797.3"	""
"414"	"ENSXETP00000019115.3"	"gzmh"
"415"	"ENSXETP00000046116.3"	"cisd2"
"416"	"ENSXETP00000005756.3"	""
"417"	"ENSXETP00000016589.2"	"SV2A"
"418"	"ENSXETP00000052291.3"	"wnt3"
"419"	"ENSXETP00000033357.3"	""
"420"	"ENSXETP00000017162.3"	"slc13a3"
"421"	"ENSXETP00000059870.1"	"slc13a3"
"422"	"ENSXETP00000046120.2"	"ube2d3"
"423"	"ENSXETP00000060270.1"	""
"424"	"ENSXETP00000063547.1"	"ntn1"
"425"	"ENSXETP00000031466.3"	"ntn1"
"426"	"ENSXETP00000063208.1"	"LRRC19"
"427"	"ENSXETP00000059071.1"	""
"428"	"ENSXETP00000009632.2"	"nrip3"
"429"	"ENSXETP00000019100.3"	"gna15"
"430"	"ENSXETP00000020678.3"	"plaa"
"431"	"ENSXETP00000015406.2"	"endod1"
"432"	"ENSXETP00000005353.3"	"ALK"
"433"	"ENSXETP00000038644.3"	"plxnb1"
"434"	"ENSXETP00000049492.3"	"sat2"
"435"	"ENSXETP00000015407.3"	"sesn3"
"436"	"ENSXETP00000034106.3"	"tamm41"
"437"	"ENSXETP00000011473.2"	"tor2a"
"438"	"ENSXETP00000062355.1"	""
"439"	"ENSXETP00000059270.1"	""
"440"	"ENSXETP00000009635.3"	"scube2"
"441"	"ENSXETP00000004782.3"	"manba"
"442"	"ENSXETP00000053856.2"	"wnt9b"
"443"	"ENSXETP00000058913.1"	"BOLA1"
"444"	"ENSXETP00000058420.1"	""
"445"	"ENSXETP00000034082.3"	"syn2"
"446"	"ENSXETP00000006954.3"	""
"447"	"ENSXETP00000024153.3"	"nr2f5"
"448"	"ENSXETP00000018304.3"	""
"449"	"ENSXETP00000035588.3"	"myh2"
"450"	"ENSXETP00000038641.3"	"myh2"
"451"	"ENSXETP00000028316.3"	"mast3"
"452"	"ENSXETP00000059457.1"	""
"453"	"ENSXETP00000036232.2"	"bfar"
"454"	"ENSXETP00000032387.3"	"kdm7a"
"455"	"ENSXETP00000005738.3"	"kdm7a"
"456"	"ENSXETP00000024156.3"	"hfe2"
"457"	"ENSXETP00000001748.2"	"hebp2"
"458"	"ENSXETP00000011480.3"	"hdac1"
"459"	"ENSXETP00000031453.3"	"sult2b1"
"460"	"ENSXETP00000046770.3"	"dnaaf5"
"461"	"ENSXETP00000024159.3"	"txnip"
"462"	"ENSXETP00000031223.3"	"gosr2"
"463"	"ENSXETP00000017165.3"	"crtap"
"464"	"ENSXETP00000055984.2"	"yipf4"
"465"	"ENSXETP00000061213.1"	"GP9"
"466"	"ENSXETP00000059471.1"	"GP9"
"467"	"ENSXETP00000049273.3"	"alpi.1"
"468"	"ENSXETP00000009648.3"	"dennd5a"
"469"	"ENSXETP00000015410.3"	"fam76b"
"470"	"ENSXETP00000036240.2"	"naga"
"471"	"ENSXETP00000058561.1"	"zmynd11"
